Route.Stop,Max.Count,Latitude,Longitude,Color
464,1,44.3063,-71.3315,#FFFFB2
467,1,44.02927495,-71.81910007,#FFFFB2
468,1,44.02971508,-71.82219048,#FFFFB2
469,1,44.03188599,-71.82319237,#FFFFB2
475,1,44.1647,-72.93038,#FFFFB2
477,1,44.16916,-72.92953,#FFFFB2
479,1,44.31952232,-71.49235982,#FFFFB2
480,1,44.32173832,-71.49254976,#FFFFB2
482,1,44.32575652,-71.49597553,#FFFFB2
483,1,44.32768998,-71.4970723,#FFFFB2
484,1,44.30318,-71.28676,#FFFFB2
485,1,44.3024,-71.2897,#FFFFB2
487,1,44.29822,-71.28879,#FFFFB2
488,1,44.29601,-71.28819,#FFFFB2
493,1,44.31125273,-71.18365274,#FFFFB2
496,1,44.3104458,-71.17470539,#FFFFB2
497,1,44.31084009,-71.17163594,#FFFFB2
498,1,44.31026517,-71.16861359,#FFFFB2
499,1,44.14435999,-71.7426541,#FFFFB2
500,1,44.14319155,-71.73996577,#FFFFB2
505,1,44.74076,-70.77402,#FFFFB2
507,1,44.74299,-70.76876,#FFFFB2
509,1,44.74629,-70.76585,#FFFFB2
510,1,44.74849,-70.7652,#FFFFB2
513,1,44.00011833,-71.54172597,#FFFFB2
514,1,44.001141,-71.53891048,#FFFFB2
515,1,44.00155859,-71.53581278,#FFFFB2
516,1,44.00386588,-71.53395703,#FFFFB2
517,1,43.95093122,-71.37958995,#FFFFB2
518,1,43.95082075,-71.38451323,#FFFFB2
529,1,44.22438981,-71.39240722,#FFFFB2
530,1,44.22403333,-71.38926015,#FFFFB2
535,1,42.15791,-74.18702,#FFFFB2
536,1,42.15565,-74.18727,#FFFFB2
537,1,42.1535,-74.18639,#FFFFB2
538,1,42.15144,-74.18517,#FFFFB2
540,1,42.14828,-74.18092,#FFFFB2
542,1,42.14365,-74.17956,#FFFFB2
543,1,42.14168,-74.17805,#FFFFB2
545,1,42.13781,-74.17504,#FFFFB2
547,1,44.21388,-73.84161,#FFFFB2
550,1,44.21289,-73.85056,#FFFFB2
551,1,44.21245,-73.85364,#FFFFB2
559,1,45.0141344,-70.37787315,#FFFFB2
560,1,45.01629584,-70.3769622,#FFFFB2
563,1,44.1398786,-71.30921105,#FFFFB2
565,1,44.14242343,-71.31427079,#FFFFB2
566,1,44.14434062,-71.31592797,#FFFFB2
577,1,44.84501643,-70.64210795,#FFFFB2
581,1,44.95764733,-70.45619432,#FFFFB2
584,1,44.9612679,-70.44818114,#FFFFB2
589,1,44.12616,-73.87621,#FFFFB2
590,1,44.125,-73.8789,#FFFFB2
591,1,43.89832,-71.47623,#FFFFB2
592,1,43.89954,-71.47899,#FFFFB2
594,1,43.90222,-71.48402,#FFFFB2
595,1,43.902,-71.48711,#FFFFB2
596,1,43.9008,-71.48974,#FFFFB2
600,1,43.94940932,-71.42953344,#FFFFB2
603,1,41.9995,-74.38114,#FFFFB2
608,1,42.00103,-74.39569,#FFFFB2
609,1,44.27475985,-73.72187088,#FFFFB2
610,1,44.27607807,-73.72437808,#FFFFB2
615,1,44.18011702,-71.5719465,#FFFFB2
618,1,44.17679552,-71.5799,#FFFFB2
620,1,44.18643563,-71.55301689,#FFFFB2
621,1,44.18468675,-71.55107003,#FFFFB2
623,1,44.18024551,-71.55001064,#FFFFB2
624,1,44.17836855,-71.5482921,#FFFFB2
625,1,44.17721227,-71.54561098,#FFFFB2
627,1,44.56532037,-70.97273782,#FFFFB2
628,1,44.56605638,-70.96976291,#FFFFB2
629,1,44.5676896,-70.96759032,#FFFFB2
630,1,44.56942733,-70.96561966,#FFFFB2
636,1,44.15768134,-71.32114135,#FFFFB2
637,1,44.15971161,-71.31969488,#FFFFB2
639,1,44.18069797,-72.9338797,#FFFFB2
640,1,44.17975039,-72.93107662,#FFFFB2
641,1,44.17752005,-72.93165816,#FFFFB2
643,1,44.17315266,-72.92982604,#FFFFB2
644,1,43.07504,-72.93937,#FFFFB2
645,1,43.0765,-72.93705,#FFFFB2
646,1,43.07742,-72.93419,#FFFFB2
649,1,43.08155,-72.9269,#FFFFB2
650,1,43.27027165,-72.94232313,#FFFFB2
651,1,43.2721383,-72.94049009,#FFFFB2
652,1,43.27362307,-72.93799555,#FFFFB2
655,1,43.27986994,-72.93783939,#FFFFB2
657,1,44.47906,-71.03831,#FFFFB2
658,1,44.4769,-71.03916,#FFFFB2
